Dependents,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Property_Area,Male,employed_Yes,married_Yes,resultado_predito
0,0,3445,0,130,0.0,1,1,0,1,0
0,0,7666,0,187,1.0,1,1,0,1,1
0,0,2458,5105,188,0.0,2,1,0,1,0
0,0,3250,0,95,1.0,1,0,0,0,1
0,0,4463,0,65,1.0,1,1,0,0,1
1,0,4083,1775,139,1.0,0,1,0,1,1
0,0,3900,2094,232,1.0,2,1,1,1,1
0,1,4750,3583,144,1.0,1,1,0,1,1
0,0,3583,3435,155,1.0,0,1,0,0,1
0,0,3189,2367,186,1.0,0,1,0,1,1
0,0,6356,0,50,1.0,2,1,1,0,1
1,0,3413,4053,136,1.0,1,1,0,1,1
0,0,7950,0,185,1.0,0,0,0,1,1
3,0,3829,1103,163,0.0,0,1,0,1,0
3,0,72529,0,360,1.0,0,1,0,1,1
2,1,4136,0,149,0.0,2,1,0,1,0
0,0,8449,0,257,1.0,2,1,0,1,1
0,0,4456,0,131,0.0,1,1,0,1,0
2,0,4635,8000,102,1.0,2,1,0,1,1
0,0,3571,1917,135,1.0,0,1,0,1,1
0,0,3066,0,95,1.0,1,1,0,0,1
2,1,3235,2015,77,1.0,1,1,0,0,1
0,0,5058,0,200,1.0,2,0,0,0,0
0,0,3188,2286,130,1.0,2,1,1,1,1
3,0,13518,0,390,1.0,2,1,0,1,1
1,0,4364,2500,185,1.0,1,1,0,1,1
2,1,4766,1646,100,1.0,1,1,0,1,1
1,0,4609,2333,123,0.0,1,1,0,1,0
3,0,6260,0,110,1.0,1,0,0,1,1
1,0,3333,4200,256,1.0,0,1,0,1,1
0,0,3500,3250,140,1.0,1,1,0,1,1
3,0,9719,0,61,1.0,0,1,0,1,1
3,0,6835,0,188,1.0,1,1,0,1,1
0,0,4452,0,131,1.0,2,1,0,0,1
0,0,2262,0,136,0.0,1,0,0,1,0
1,0,3901,0,116,1.0,0,1,0,1,1
2,1,2687,0,50,1.0,2,1,0,1,0
0,0,2243,2233,107,1.0,1,1,0,0,1
0,0,3417,1287,200,1.0,1,0,0,1,1
0,0,1596,1760,119,0.0,0,0,0,0,0
3,0,4513,0,120,1.0,2,1,0,1,1
0,0,4500,0,140,1.0,1,1,0,1,1
0,1,4523,1350,165,1.0,0,1,0,1,1
0,0,4742,0,108,1.0,1,0,1,0,1
0,0,4082,0,93,1.0,1,1,0,1,1
0,0,3417,0,102,1.0,0,0,0,0,1
2,0,2922,3396,122,1.0,1,0,0,1,1
0,0,4167,4754,160,1.0,2,1,0,1,1
3,0,4243,4123,157,1.0,1,1,0,0,1
0,1,0,1760,180,1.0,1,0,0,0,1
1,0,1516,2900,80,0.0,2,1,0,1,0
0,0,1762,2666,104,0.0,0,0,0,0,0
2,0,724,3510,213,0.0,2,1,0,1,0
0,0,3125,0,65,1.0,0,1,0,0,1
0,0,2333,3803,146,1.0,2,1,0,1,1
3,0,3350,1560,135,1.0,0,1,0,1,1
0,0,2500,6414,187,0.0,2,1,0,0,0
0,0,12500,0,300,0.0,0,0,0,0,0
0,0,4667,0,120,1.0,1,1,0,0,1
0,0,6500,0,71,0.0,0,1,0,0,0
2,0,7500,0,225,1.0,0,1,0,1,1
0,0,3073,0,70,1.0,0,1,0,0,1
1,1,3321,2088,70,1.0,1,1,0,1,1
0,0,3333,1270,124,1.0,0,1,0,1,1
0,0,3391,0,132,1.0,2,1,0,0,1
1,0,3343,1517,105,1.0,2,1,1,1,1
1,0,3620,0,90,1.0,0,0,0,0,1
0,0,4000,0,83,1.0,0,1,0,0,1
0,0,4258,0,125,1.0,0,1,0,1,1
2,0,4500,0,147,1.0,2,1,0,1,1
1,0,2014,2925,120,1.0,2,1,0,1,1
0,0,3333,1250,110,1.0,1,0,0,0,1
3,0,4083,0,103,1.0,1,0,0,0,1
0,0,4727,0,150,0.0,2,1,0,0,0
3,0,3089,2999,100,1.0,2,1,0,1,1
3,1,6794,528,139,0.0,0,1,0,1,0
0,0,32000,0,550,1.0,1,1,1,1,1
2,0,10890,0,260,1.0,2,1,1,1,1
0,0,12941,0,150,1.0,0,0,0,0,1
0,1,3276,0,90,1.0,1,1,0,0,1
0,1,8703,0,199,0.0,2,1,1,0,0
1,0,4742,717,139,1.0,1,1,0,1,1
0,0,5900,0,150,1.0,0,1,0,0,1
0,0,3071,4309,180,1.0,0,1,0,0,1
0,0,2783,1456,113,1.0,0,1,0,1,1
0,0,5000,0,148,1.0,2,1,0,0,1
1,1,2463,2360,117,0.0,0,1,0,1,0
2,0,4855,0,72,1.0,2,1,0,1,1
0,1,1599,2474,125,1.0,1,1,1,0,1
2,0,4246,4246,214,1.0,0,1,1,1,1
0,0,4333,2291,133,1.0,2,1,0,1,1
1,0,5823,2529,187,1.0,1,1,0,0,1
0,1,7895,0,143,1.0,2,1,0,1,0
0,0,4150,4256,209,1.0,2,1,0,0,1
0,0,2964,0,84,0.0,1,1,0,0,0
0,0,5583,0,116,1.0,0,1,0,0,1
0,0,2708,0,65,1.0,2,0,0,0,1
1,0,3180,2370,80,1.0,2,1,0,0,1
0,1,2268,0,170,0.0,1,1,0,0,0
2,1,1141,2017,120,0.0,0,1,0,0,0
0,0,3042,3167,135,1.0,0,1,0,1,1
3,0,1750,2935,94,0.0,1,0,0,1,0
1,0,3564,0,79,1.0,2,0,0,1,1
0,0,3958,0,110,1.0,2,0,0,0,1
2,1,4483,0,130,1.0,2,1,0,1,1
0,0,5225,0,143,1.0,2,1,0,1,1
0,0,3017,2845,159,0.0,0,1,0,0,0
0,1,2431,1820,110,0.0,2,1,0,1,0
2,0,4912,4614,160,1.0,2,1,0,1,1
2,1,2500,3333,131,1.0,0,1,0,1,1
0,0,2918,0,65,1.0,2,0,0,0,1
2,0,5128,0,143,1.0,2,1,0,1,1
3,0,15312,0,187,1.0,0,1,0,1,1
2,0,3958,2632,160,1.0,1,1,0,1,1
0,0,4334,2945,165,1.0,1,1,0,1,1
2,0,4358,0,110,1.0,0,1,0,1,1
1,0,4000,3917,173,1.0,2,0,0,1,1
3,0,10166,750,150,1.0,0,1,0,1,1
0,1,4483,0,135,1.0,1,1,0,1,1
2,1,4521,1184,150,1.0,1,1,0,1,1
2,0,9167,0,235,1.0,1,1,0,1,1
0,1,13083,0,136,1.0,2,1,0,1,0
2,0,7874,3967,336,1.0,2,1,0,1,1
1,0,4333,0,132,1.0,2,0,0,1,1
0,0,4083,0,96,1.0,0,1,0,0,0
2,1,3785,2912,180,0.0,2,1,0,1,0
3,1,2654,1998,128,0.0,2,1,0,1,0
1,0,10000,2690,412,1.0,1,1,0,1,1
0,0,5833,0,116,1.0,0,1,1,0,1
1,0,4796,0,114,0.0,1,1,0,1,0
0,1,2000,1600,115,1.0,2,1,0,1,1
2,0,2540,700,104,0.0,0,1,0,1,0
0,0,1900,1442,88,1.0,2,1,1,1,1
0,0,8706,0,108,1.0,2,1,1,1,1
3,1,2855,542,90,1.0,0,1,0,1,1
0,0,3016,1300,100,1.0,0,1,0,1,1
0,0,3159,2374,108,1.0,1,0,0,1,1
0,0,1937,1152,78,1.0,1,0,0,0,1
0,0,2613,2417,123,1.0,1,1,0,1,1
1,0,4960,2600,187,1.0,1,1,0,1,1
1,0,3074,1083,146,1.0,1,1,0,1,1
0,0,4213,0,80,1.0,0,0,0,0,1
1,1,2038,4027,100,1.0,2,0,0,0,1
0,0,2362,0,55,1.0,0,0,0,0,1
0,0,5333,2400,200,0.0,2,1,0,0,0
3,0,5384,0,150,1.0,1,1,1,1,1
0,0,5708,0,150,1.0,2,1,0,0,1
0,1,3754,3719,118,1.0,2,1,0,1,1
0,1,2914,2130,150,1.0,0,1,0,1,1
0,1,2747,2458,118,1.0,1,1,0,1,1
0,0,7830,2183,212,1.0,2,1,0,1,1
1,0,3507,3148,212,1.0,2,1,1,1,1
1,0,3747,2139,125,1.0,0,1,0,1,1
0,0,2166,2166,108,1.0,0,1,0,1,1
0,1,3500,2168,149,1.0,2,1,0,1,1
2,1,2896,0,80,1.0,0,1,0,1,1
1,0,5062,0,152,1.0,2,0,0,0,1
2,0,5184,0,187,0.0,1,0,1,0,0
0,0,2545,0,74,1.0,0,0,0,0,1
0,0,2553,1768,102,1.0,0,1,0,1,1
1,0,3436,3809,100,1.0,2,1,0,1,1
0,0,2412,2755,130,1.0,2,1,0,0,1
3,1,5180,0,125,0.0,0,1,0,1,0
0,0,14911,14507,130,1.0,1,1,0,0,1
0,0,2860,2988,138,1.0,0,0,1,0,1
0,0,1173,1594,28,1.0,2,1,0,1,1
1,0,7600,0,92,1.0,1,0,0,0,1
0,0,2157,1788,104,1.0,0,0,0,1,1
0,0,2231,2774,176,0.0,0,1,0,0,0
0,0,2274,5211,117,0.0,1,0,0,0,0
2,1,6166,13983,102,1.0,2,1,0,1,1
2,1,2513,1110,107,1.0,1,1,0,1,1
0,0,4333,0,66,1.0,0,1,0,0,1
0,1,3844,0,105,1.0,0,1,0,0,1
0,0,3887,1517,105,0.0,1,1,0,1,0
0,0,3510,828,105,1.0,1,1,0,1,1
0,0,2539,1704,125,0.0,2,1,0,1,0
0,1,2107,0,64,1.0,1,0,0,0,1
0,0,3186,3145,150,0.0,1,0,0,1,0
2,0,5000,2166,150,1.0,0,1,1,1,1
0,0,10000,0,136,1.0,0,1,0,1,1
0,1,3943,0,64,1.0,1,1,1,1,0
0,0,2925,0,40,1.0,2,1,0,0,1
3,0,3242,437,142,0.0,0,1,0,1,0
0,0,3863,0,70,1.0,1,1,0,1,1
1,0,4028,0,131,1.0,1,0,0,0,1
2,0,4010,1025,120,1.0,0,1,0,1,1
1,0,3719,1585,114,1.0,0,0,0,1,1
0,0,2858,0,123,0.0,2,1,0,0,0
0,0,3833,0,92,1.0,2,0,0,1,1
0,0,3333,4288,160,1.0,0,1,0,1,1
0,0,3007,3725,151,1.0,2,1,0,1,1
1,0,1850,4583,81,1.0,2,0,0,0,1
3,1,2792,2619,171,1.0,1,1,0,1,1
0,0,2982,1550,110,1.0,1,1,0,1,1
0,0,3417,738,100,1.0,2,1,0,0,1
1,0,18840,0,234,1.0,2,1,0,1,1
2,0,2995,1120,184,1.0,2,1,0,1,1
0,0,3579,3308,138,1.0,1,1,0,0,1
1,1,3835,1400,112,0.0,0,0,0,1,0
1,1,3854,3575,117,1.0,2,0,0,0,1
2,0,5833,750,49,0.0,2,1,0,1,0
0,0,3508,0,99,1.0,2,1,0,0,1
3,1,1635,2444,99,1.0,0,0,0,1,1
0,0,3333,3916,212,1.0,2,0,1,0,1
1,0,24797,0,240,1.0,1,1,0,0,1
2,0,5667,440,130,0.0,1,1,0,1,0
0,0,3500,0,94,0.0,1,0,0,0,0
3,0,2773,1497,108,1.0,1,1,0,1,1
0,0,6500,0,144,1.0,0,1,0,1,1
0,0,5769,0,110,1.0,1,0,0,0,1
3,1,3634,910,176,0.0,1,1,0,1,0
0,0,29167,0,185,1.0,1,0,0,0,1
0,0,2166,2057,122,1.0,1,1,0,0,1
0,0,5000,0,126,1.0,2,1,0,1,1
0,0,5530,0,135,1.0,0,0,0,0,1
0,1,9000,0,122,1.0,2,1,0,0,0
2,0,10000,11666,460,1.0,0,0,0,1,0
1,0,8750,0,297,1.0,0,1,0,1,1
0,1,2157,2730,140,1.0,2,1,0,1,1
0,0,1972,4347,106,1.0,2,1,0,0,1
0,0,4983,0,141,1.0,0,1,0,0,1
1,0,8333,4000,136,1.0,0,1,0,1,1
0,0,3667,2000,170,1.0,1,1,0,1,1
2,0,3166,2833,145,1.0,0,1,0,1,1
0,1,3271,0,90,1.0,2,1,0,0,1
0,0,2241,2000,88,0.0,0,0,0,1,0
1,1,1792,2565,128,1.0,0,1,0,1,1
0,0,2666,0,84,1.0,1,0,0,1,1
0,0,6478,0,108,1.0,1,0,0,0,1
0,1,3808,0,83,1.0,2,1,0,0,1
2,1,3729,0,117,1.0,1,0,0,1,1
2,0,4120,0,128,1.0,2,1,0,1,1
1,0,7500,0,75,1.0,0,1,1,1,1
1,0,6300,0,125,0.0,0,1,0,1,0
0,0,14987,0,177,1.0,2,0,1,0,0
1,1,570,2125,68,1.0,2,0,1,1,1
0,0,2600,700,96,1.0,1,1,0,1,1
2,1,2733,1083,180,1.0,1,1,0,0,1
2,0,7500,0,183,1.0,2,1,1,1,1
2,1,3859,0,121,1.0,2,1,0,1,1
1,0,6825,0,162,1.0,2,1,0,1,1
0,0,3708,4700,132,1.0,1,1,0,1,1
0,0,5314,0,147,1.0,0,1,0,0,1
3,0,2366,5272,153,0.0,2,0,0,0,0
0,0,2066,2108,104,1.0,0,1,0,0,1
2,0,5000,0,149,1.0,2,1,0,1,1
0,0,3767,0,134,1.0,0,0,0,0,1
0,0,7859,879,165,1.0,1,0,0,1,1
0,0,4283,0,120,1.0,2,0,0,1,1
0,1,1700,2900,67,0.0,0,1,0,1,0
0,1,4768,0,125,1.0,2,0,0,0,1
0,0,3083,2738,120,1.0,0,1,0,0,1
1,0,2667,1542,148,1.0,2,1,0,1,1
0,1,1647,1762,181,1.0,0,0,0,1,1
3,0,3400,0,80,1.0,0,1,0,1,1
1,0,16000,5000,40,1.0,1,1,0,0,1
0,0,5333,0,90,1.0,2,1,0,1,1
0,0,2875,2416,95,0.0,1,1,0,0,0
1,1,2600,618,122,1.0,1,1,0,1,1
2,0,5041,700,150,1.0,0,1,0,1,1
3,0,6958,1411,150,1.0,2,1,1,1,1
1,0,3500,1658,104,1.0,1,1,0,1,1
0,0,5509,0,143,1.0,2,1,0,1,1
3,0,9699,0,300,1.0,0,1,0,1,1
1,1,3621,2717,171,1.0,0,0,0,1,1
0,0,4709,0,113,1.0,1,0,0,1,1
0,0,1516,1951,35,1.0,1,1,0,1,1
2,0,2400,0,46,1.0,0,1,0,0,1
0,1,3015,2000,145,1.0,0,0,0,0,1
0,0,2292,1558,119,1.0,0,1,0,1,1
1,0,2360,3355,87,1.0,2,1,1,1,1
0,0,4333,2333,162,0.0,2,0,0,0,0
0,0,2623,4831,122,1.0,1,1,1,1,1
0,0,3972,4275,187,1.0,2,1,1,0,1
3,1,3522,0,81,1.0,2,1,0,1,0
1,0,4700,0,80,1.0,0,1,0,1,0
0,0,6858,0,176,1.0,2,1,0,0,1
3,0,8334,0,260,1.0,0,1,0,1,1
0,0,3391,1966,133,0.0,2,1,0,1,0
0,1,2868,0,70,1.0,0,1,0,0,0
2,1,3418,1380,135,1.0,0,1,0,1,1
0,0,2500,296,137,1.0,2,1,1,1,1
2,0,8667,0,254,1.0,2,1,0,1,1
0,0,2283,15000,106,1.0,2,1,0,0,1
0,0,5817,910,109,1.0,0,1,0,1,1
0,0,5119,3769,120,1.0,2,1,0,1,1
3,1,5316,187,158,0.0,1,1,0,1,0
3,0,7603,1213,197,1.0,0,1,0,1,1
1,0,3791,1936,85,1.0,0,1,0,1,1
0,0,2500,0,60,1.0,0,1,0,0,1
2,1,3132,0,76,1.0,2,1,0,1,1
0,0,4000,2667,152,1.0,1,1,0,0,1
0,0,8550,4255,96,1.0,0,0,0,1,1
1,0,2269,2167,99,1.0,1,1,0,1,1
3,1,4009,1777,113,1.0,0,1,1,1,1
0,0,4158,709,115,1.0,0,1,0,1,1
0,0,3250,1993,126,1.0,1,1,0,0,1
0,0,5000,2393,158,1.0,2,1,0,1,1
0,0,9200,0,98,1.0,2,1,1,0,1
